,Virginia,California,Florida,New York,New Jersey,Texas,Michigan,Massachusetts,Arizona,Washington,Colorado,Illinois,the District of Columbia,Nevada,Hawaii,New Hampshire,Utah,Georgia,Montana,Minnesota,Louisiana,Maryland,Pennsylvania,South Carolina,North Carolina,Vermont,Tennessee,Oregon,New Mexico,Rhode Island,Alaska,Maine,Alabama,Wisconsin,Arkansas,Mississippi,Indiana,West Virginia,Idaho,North Dakota,Connecticut,Kentucky,Missouri,Kansas,Delaware,Wyoming,Oklahoma,South Dakota,Nebraska,Iowa,Ohio
2000-11-01,131222.41477306478,215384.62451110035,112717.35209541634,161805.98035964093,180635.24343694095,113689.55516314403,122624.25695665162,215729.3168160397,141041.30496479632,185087.14462759855,194981.47965349825,134363.91814266748,175761.59012997642,159471.89242027656,208371.52815508214,145240.75776685547,177403.5102066486,130951.38834781614,,137783.3134018265,107138.71892798867,157946.58846178194,101842.61315843459,117195.5190838969,133347.00514179343,118630.52960734542,112883.71980671433,157656.9794214739,,141318.98186365204,134979.96995245633,113409.86127638468,102440.97703613639,123533.58136010019,89141.02853748862,89493.45808119985,99870.69963427202,75385.88103331313,125270.16869429762,,172029.72128460524,87163.76703415466,101571.33450700076,91901.87056455757,155441.2113482871,,84615.43465725303,106527.67454745271,117305.20250457565,94115.86828775216,109387.75485331385
2000-12-01,132141.9486839473,217811.74971618914,113447.00303974391,163070.59577011073,182059.90650342903,114062.31170894271,123479.07789898755,218691.61226768934,141678.33702822632,185908.8861787802,196967.16061882637,135237.47006182664,176124.9648189576,160181.3902532436,209170.8782542128,147076.51867603709,177935.92062821364,131901.0506042169,,139408.81878576195,107743.80962796287,158827.70594715138,102321.63999694555,117637.31243026016,133937.04532349517,119501.78000511216,113295.91554198282,158114.60916029848,,142415.2288137684,135316.78601363426,114476.7295867682,102893.9446907825,124120.84952305951,89629.44295942411,90133.16601084732,100531.52534284366,75973.18835327866,125514.45069653077,,173288.47127213358,87587.79283378269,102281.93153531505,92340.06680408616,156218.43449121778,,85007.99206954848,106426.05949204268,117639.7178106919,94605.78823195514,109848.78289051384
2001-01-01,133067.91811333815,219864.97819243782,114114.17536874402,164283.54972431078,183393.3343391763,114284.8642864264,124286.82736921227,221368.36921554725,142298.71960326598,186768.61106890588,198958.67483156337,135864.51742733852,176933.55921432938,160908.7860200031,209840.27588536567,148747.70760929314,178431.57866205962,132822.91941050315,,140874.44481390264,108414.77231033593,159554.92346519217,102794.47118914222,118151.90375183265,134546.40697995832,120275.42420717549,113766.80304676354,158630.53570908756,,143491.22581826657,137698.1009852699,115789.755714219,103399.9278654802,124658.71002768863,90206.92347782664,90715.42809989478,101008.1767373612,76687.77976758868,125910.45259362199,,174391.36698123298,88081.04620551267,102812.06881627023,92885.13502324313,157080.10195189886,,85444.87855302227,106487.09500625159,118150.51407840331,94938.20008026467,110276.5486450068
2001-02-01,133889.25393379558,221895.1992437921,114777.01179006447,165293.04890835998,184864.3443459304,114251.23636658273,124910.62729330733,223812.54802301698,142917.53723273406,187618.89592257154,200834.8430066757,136492.81393542304,177761.73912465092,161680.65339544104,210502.1929194494,150536.471252888,178716.68551725362,133616.24484974387,,142185.99990266457,109000.04685416969,160215.96400199487,103226.7930593698,118612.32209779373,135000.81124479152,121140.63302147172,114139.80022977886,159067.59998568907,,144568.4276545593,141466.60518012746,117004.92403459427,103828.4440691818,125184.29385929403,90578.71950640221,91065.51561581357,101171.37258284724,77134.99652777685,126311.89586178039,,175307.20730098613,88531.04685468787,103178.7689345316,93514.16304384846,157783.78493716673,,85868.86011299999,106706.52167747456,118493.1996574324,95238.10952527403,110616.87035163096
2001-03-01,134735.52121328333,224180.38047740108,115469.91877160233,166203.5504460868,186325.37627025283,114028.54045038496,125420.52335473138,226221.6562176346,143539.2960580099,188418.83608720195,202736.88844417743,137173.92180798264,178930.83570037203,162521.3084746144,211094.9900885967,152220.06651665326,178887.92307612285,134293.74700105327,,143488.67477884906,109563.72927198622,160777.89011133157,103661.6200707942,119089.06994461821,135368.3178669217,122046.80456375028,114452.56905020888,159532.04461895398,,145716.2826331834,146277.43484984184,118142.75055567623,104181.57696331972,125709.74335750153,90857.97709522501,91279.87673403474,101169.98828559763,77472.36410370417,126864.49622121376,,176325.74929504833,88960.06114618493,103584.67621313846,94176.07743186459,158550.21253034286,,86236.20452644744,107156.91981944595,116107.51021860378,95429.46118282208,110932.90959830805
2001-04-01,135620.10606886222,227021.693237126,116288.4095070291,167154.1510321022,187869.18652202026,113898.0692558074,125867.29833595482,228710.7114905644,144171.3977381722,189201.20070968944,204588.62758682668,137867.8943677088,180710.51969897616,163361.78248295808,211802.92861257467,153956.69857147092,179065.8485435366,134918.26437010858,,144899.44470995685,110055.31296275153,161534.22386400765,104128.1842453683,119415.58509882214,135639.9841797156,122957.11557995186,114701.08722071501,159937.4772008071,,147050.9106704207,149918.73285746318,119039.16390067637,104436.19040796066,126289.31949339493,91031.64612388838,91459.42872332345,101124.6840673896,77630.55094826274,127396.57426802651,,177502.4642339271,89344.76197776757,104106.87502251734,94747.31750507624,159281.04308857248,,86581.2959955387,107562.14176883211,112701.40885946825,95693.83771235075,111245.85743307136
2001-05-01,136598.54356845948,229868.8884271198,117184.90372472443,168203.9999964861,189392.8753565028,113941.87588359039,126409.29863987221,231282.30945941852,144813.01024254275,189877.5318073465,206436.6925204134,138693.7587839239,182741.99864517184,164256.50498845556,212826.20085632545,155895.0730783711,179167.02953438097,135608.16061625964,,146341.0369488315,110504.42718309847,162419.4879314068,104574.6957864643,119784.1404997232,135956.07019949492,123797.8801234766,114987.89635074155,160392.8635239956,,148470.70287426768,152936.10358821388,120110.74730714224,104688.28489518701,126888.07379582156,91349.75127282075,91782.10484991506,101324.74651998153,77940.08933479372,127917.23076789087,,178827.7458937748,89746.7658049229,104726.66470971784,95280.82000920398,160038.94128809206,,86883.71184398152,108155.18209028374,109176.56588248293,95996.52248823173,111585.38383692534
2001-06-01,137577.18810760125,232455.32971359874,118120.69915271543,169362.78073349278,191090.2971016333,114074.70732530179,126962.62356344335,233982.48421931325,145460.17865554444,190569.70227740068,208087.9808850413,139564.09759249535,184701.82824645904,165124.14951329192,213988.87711974382,157969.56189097647,179336.3929759762,136297.03239149976,,147783.96452771823,110915.4106111935,163485.12034127538,105029.30377214974,120175.60115073244,136274.00273097484,124591.17369918675,115267.90782831743,160867.71026600144,,149935.1218882216,155469.86011476244,121293.18546581065,104947.85584657232,127519.6544321634,91711.14530854084,92124.57592212174,101679.7795101593,78253.92560505807,128304.51829520536,,180163.57673511046,90174.94390174821,105404.3532754319,95797.52912667395,160783.11992111613,,87183.74818936114,108460.70342941048,108289.31682915024,96382.60834854371,111919.6389468985
2001-07-01,138630.9204548788,234876.82272048775,119126.70646995632,170579.32779106408,192918.15504211522,114230.74389383131,127536.25818902109,236845.85791829127,146075.8947783007,191224.35648478128,209716.4741668127,140461.9303116711,186671.69588201746,166048.7081553518,215265.27734863982,160045.72549528538,179477.19652239676,136984.0957539101,,149297.25589251402,111310.07183190733,164630.44984268874,105518.41296893329,120655.04801042088,136577.47961725885,125405.06587252539,115536.27809485525,161423.65436536993,,151505.23481642854,157846.4529335112,122625.88196833052,105241.52357190858,128192.3766490412,92127.79854450021,92408.93393744655,102111.01127839054,78567.67570788319,128701.84465947111,,181458.47885378473,90602.07927061465,106096.73485464793,96304.07752745098,161491.57466678074,,87466.35976320876,108752.85298147441,108262.26498157451,96773.22191186418,112292.56823850585
2001-08-01,139692.4199542885,237209.967423644,120193.00668457843,171856.3357458323,194935.7856352058,114370.90052964608,128144.12743495627,239965.90245776498,146684.8039208892,192030.8827768742,211320.70140808125,141560.8177883003,188843.26837768592,166991.76120490488,216510.40625515368,161942.2594119684,179751.26852084292,137681.8211157334,,150945.15612774604,111754.68244844663,165893.3981274206,106057.20268478397,121046.82732209179,136922.84288516504,126153.92720271503,115852.32807106397,162056.09146909192,,153382.70077388023,159566.4044720489,123768.69625233392,105502.66051451316,128900.85771524883,92474.68563495534,92731.90993012059,102489.81525917938,78858.4793549818,129183.33358546424,,183134.86528331204,90979.26574436885,106731.85164074461,96779.26279599515,162241.9466630935,,87782.08024587708,108822.70351875872,108430.26329601223,97200.17421206327,112706.52960996293
